Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
2021-04-25 20:41:09,4th year,Normal,60,Female,22,Home,It's complicated,No,3,Normal,Not applicable,Not applicable,Yes,Friends,Yes,Not applicable,Yes,No,Yes,5.5
2021-06-15 12:51:44,4th year,Normal,50,Female,22,Home,Single,No,3,Normal,No,Yes,Yes,Friends,Yes,Maybe,Neutral,No,No,8.0
2021-07-07 02:06:57,1st year,Normal,50,Female,20,Hall-Mess,In a relationship,Yes,3,Good,No,Not applicable,No,Family,Not applicable,Not applicable,No,No,Yes,6.0
2021-04-14 13:42:15,4th year,Very bad,30,Female,22,Home,Broken Up,No,3,Normal,No,Not applicable,Yes,Friends,No,Maybe,Neutral,No,No,7.0
2021-05-24 20:17:01,2nd year,Good,50,Female,20,outside,In a relationship,No,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,5.0
2021-07-08 20:08:08,2nd year,Good,70,Female,20,Department,In a relationship,No,3,Normal,No,Not applicable,No,Friends,Not applicable,Not applicable,No,No,Yes,6.0
2021-06-08 20:10:47,3rd year,Good,70,Female,21,Hall-Mess,It's complicated,No,2,Good,No,No,Yes,Friends,No,Maybe,No,No,Yes,6.5
2021-05-07 21:18:30,4th year,Good,80,Female,22,Relative's place,It's complicated,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,No,No,7.0
2021-06-01 01:54:34,2nd year,Normal,45,Female,21,Department,In a relationship,No,2,Good,Yes,Not applicable,No,Friends,Yes,Maybe,Yes,No,Yes,5.5
2021-07-17 02:02:55,2nd year,Very good,90,Female,21,Department,In a relationship,No,4,Good,Not applicable,Yes,No,No one,No,Yes,Yes,No,Yes,6.0
2021-06-29 20:06:34,3rd year,Very good,95,Female,21,outside,In a relationship,Yes,3,Good,No,Yes,Yes,Family,No,No,Yes,No,Yes,6.0
2021-04-10 10:14:42,4th year,Normal,60,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,No,No,Neutral,No,No,8.0
2021-05-21 20:34:46,4th year,Normal,70,Female,22,wedding,It's complicated,No,4,Normal,No,No,Yes,Friends,No,Maybe,Yes,No,Yes,5.0
2021-07-22 02:03:06,1st year,Bad,40,Female,20,Hall-Mess,In a relationship,No,1,Bad,Not applicable,Not applicable,Not applicable,No one,Yes,No,No,Yes,No,7.0
